[27-04-2021 11:11PM]	127.0.0.1 	Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0	http 200	"localhost	GET	/media/images/refund-policy.png"	Description: The web data center is not set!!
[27-04-2021 11:11PM]	127.0.0.1 	Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0	http 200	"localhost	GET	/media/images/term-of-use.png"	Description: The web data center is not set!!
[28-04-2021 06:59AM]	127.0.0.1 	Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0	http 200	"localhost	GET	/media/images/dmca-policy.png"	Description: The web data center is not set!!
[28-04-2021 06:59AM]	127.0.0.1 	Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0	http 200	"localhost	GET	/media/images/refund-policy.png"	Description: The web data center is not set!!
[28-04-2021 06:59AM]	127.0.0.1 	Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0	http 200	"localhost	GET	/media/images/term-of-use.png"	Description: The web data center is not set!!
[30-04-2021 12:23AM]	127.0.0.1 	Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0	http 200	"localhost	GET	/media/images/dmca-policy.png"	Description: The web data center is not set!!
[30-04-2021 12:23AM]	127.0.0.1 	Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0	http 200	"localhost	GET	/media/images/refund-policy.png"	Description: The web data center is not set!!
[30-04-2021 12:23AM]	127.0.0.1 	Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0	http 200	"localhost	GET	/media/images/term-of-use.png"	Description: The web data center is not set!!
[30-04-2021 12:23AM]	127.0.0.1 	Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0	http 200	"localhost	GET	/company"	Description: /srv/Ema/Mishusoft/Main/Views/Company/index.php not found.
[30-04-2021 09:47PM]	127.0.0.1 	Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0	http 200	"localhost	GET	/company"	Description: /srv/Ema/Mishusoft/Main/Views/Company/index.php not found.
