"Date", "Client", "User-Agent"
"Unknown","127.0.0.1","Mozilla/5.0 (iPad; CPU OS 12_3_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.3.3 (like Version/12.3.1 Mobile/16F203 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPad; CPU OS 12_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.3.6 (like Version/12.4 Mobile/16G77 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPhone; CPU OS 12_0 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.2 (like Version/12.0 Mobile/16A366 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPhone; CPU OS 12_0_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.2.2 (like Version/12.0.1 Mobile/16A404 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPhone; CPU OS 12_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.2.4 (like Version/12.1 Mobile/16B92 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPhone; CPU OS 12_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.2.7 (like Version/12.1.2 Mobile/16C101 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPhone; CPU OS 12_3_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.3.5 (like Version/12.3.2 Mobile/16F250 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPhone; CPU OS 13_1_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/7.4.2 (like Version/13.1.1 Mobile/17A854 Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPhone; CPU OS 8.1.2 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) 1Password/5.1.2 (like Version/12B440 Mobile/8.1.2 Safari/8536.25)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPhone; CPU OS 9_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) 1Password/6.2.1 (like Version/9.3 Mobile/13E5191d Safari/600.1.4)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPhone; CPU iPhone OS 6_0_1 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) 1Password/4.0.2/400142 (like Mobile/10A525 Safari/8536.25)"
"Unknown","127.0.0.1","Mozilla/5.0 (iPhone; CPU iPhone OS 6_1 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) 1Password/4.1.2 (like Version/10B142 Mobile/6.1 Safari/8536.25)"
